devID,chipID,area,R5,R5_StdDev,R5_NumSamples,R5_AvgFitQuality,R5_LeastFitQuality,R5_PlotFilename,R5_Best,R5_BestFitQuality
DB3,Chip#1,144,6469.99017209341,315.421883983232,5,0.999834302564134,0.999611300555264,R5_DB3_Chip#1_35.png,6322.75253873109,0.99991284637391
DB2,Chip#1,144,3363.6221104972,143.996995706706,5,0.999886323093227,0.999690428375515,R5_DB2_Chip#1_36.png,3486.09862264172,0.999968304490765
DA4,Chip#1,324,1823.11018506727,55.8604277361223,5,0.999898866382032,0.999798010759223,R5_DA4_Chip#1_37.png,1898.76160318193,0.999901310071573
DA3,Chip#1,324,NaN,NaN,0,NaN,NaN,,NaN,NaN
DA2,Chip#1,324,1935.10775258807,51.9909843859559,5,0.999912632957336,0.999865784528876,R5_DA2_Chip#1_39.png,1973.22351832879,0.999980133522337
AD4,Chip#1,4,18122.8865463995,1025.91497167426,5,0.998762364362372,0.997017435647364,R5_AD4_Chip#1_40.png,18718.0877301097,0.999142422169887
AD3,Chip#1,4,NaN,NaN,0,NaN,NaN,,NaN,NaN
AD2,Chip#1,4,NaN,NaN,0,NaN,NaN,,NaN,NaN
AC4,Chip#1,36,6278.25416038581,94.8066492154725,3,0.999778736058165,0.999675926619934,R5_AC4_Chip#1_43.png,6278.25416038581,0.999868417346155
AC3,Chip#1,36,7687.31797475042,162.804124284541,5,0.999685497583171,0.999467801708323,R5_AC3_Chip#1_44.png,7687.31797475042,0.99988823411004
AC2,Chip#1,36,6568.26508021879,248.417779683208,5,0.999836528981565,0.999678829877608,R5_AC2_Chip#1_45.png,6824.04474873919,0.999882699807274
AB4,Chip#1,144,3015.41605362464,301.833015104799,5,0.992001798442615,0.972361353288101,R5_AB4_Chip#1_46.png,3432.66266816958,0.98833880951131
AB3,Chip#1,144,2896.59340782138,180.899665285935,4,0.999809881967893,0.999595149756044,R5_AB3_Chip#1_47.png,3201.57163035842,0.999595149756044
AA2,Chip#1,324,18959.3440532322,3141.1871831576,5,0.981362053732975,0.92104121080723,R5_AA2_Chip#1_48.png,18215.786129537,0.997944633125292
EC2,Chip#1,36,2563.46753356442,79.4242381657468,5,0.999918576466249,0.999859805565122,R5_EC2_Chip#1_49.png,3150.15406021062,0.998431730914541
EC3,Chip#1,36,2041.97625803755,24.5012108856506,5,0.999973231974933,0.999958020400087,R5_EC3_Chip#1_50.png,2099.74427641729,0.998691676084107
EC4,Chip#1,36,2429.93119612969,60.9278707616018,5,0.999915258560281,0.999868206906807,R5_EC4_Chip#1_51.png,2429.93119612969,0.999868206906807
FC1,Chip#1,36,4879.66143336705,466.577133604507,5,0.996082117572568,0.992116795083562,R5_FC1_Chip#1_52.png,5122.98211152813,0.996787336764502
FC2,Chip#1,36,NaN,NaN,0,NaN,NaN,,NaN,NaN
FC3,Chip#1,36,2702.84076585406,167.262418358118,5,0.999640569592338,0.998345044862703,R5_FC3_Chip#1_54.png,2689.28800380867,0.999970353401744
FC4,Chip#1,36,876020772039.362,121267647678.654,5,0.962289500973043,0.950088805768994,R5_FC4_Chip#1_55.png,498102357996.623,0.906310466660385
FB4,Chip#1,144,6470507.18280257,182828.609908037,5,0.999901167803533,0.999839816990269,R5_FB4_Chip#1_56.png,6470507.18280257,0.999839816990269
FA3,Chip#1,324,1513.48319969028,39.805516581886,5,0.99974997405191,0.999143203259224,R5_FA3_Chip#1_57.png,1513.48319969028,0.999949930987293
FA2,Chip#1,324,1321.6551560655,10.8307162057325,5,0.999895800281896,0.999788620395408,R5_FA2_Chip#1_58.png,1322.78604642415,0.999967525484223
FA1,Chip#1,324,1372.77321482574,18.0644622207957,5,0.999792039904847,0.999310405476596,R5_FA1_Chip#1_59.png,1372.77321482574,0.999908901401494
CC3,Chip#1,36,5019.54031905164,272.252383320899,3,0.999906173620214,0.999763087342472,R5_CC3_Chip#1_60.png,5019.54031905164,0.999974717601579
CB3,Chip#1,144,6003997.14710641,5406.15846870977,5,0.999999039720232,0.999998420234785,R5_CB3_Chip#1_61.png,5953707.12506824,0.999983080561873
CA3,Chip#1,324,19155728472254.2,0,1,0.941734559088404,0.941734559088404,R5_CA3_Chip#1_62.png,19155728472254.2,0.941734559088404
